PERMIT NUMBER,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ISSUED DATE,EXPIRATION DATE,PAYMENT DATE,ADDRESS,ADDRESS NUMBER START,ADDRESS NUMBER,STREET DIRECTION,STREET,STREET TYPE,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LATITUDE,LONGITUDE,LOCATION
1143918,314041,1,THE PERCH KITCHEN & TAP INC.,The Perch Kitchen & Tap,07/02/2020,05/31/2021,06/11/2020,1932 W DIVISION ST,1932,1932,W,DIVISION,ST,CHICAGO,IL,60622,1,17,1-17,14,41.903318259,-87.676182079,"(41.903318259235434, -87.67618207856104)"
1144496,387121,1,BLACK ROCK RESTAURANTS LLC,THE MARQ,07/23/2020,05/31/2021,07/22/2020,60 W ADAMS ST,60,60,W,ADAMS,ST,CHICAGO,IL,60603,42,9,42-9,1,41.879535234,-87.630024211,"(41.879535234081224, -87.63002421135039)"
1144019,298727,2,CBC RESTAURANT CORP.,CORNER BAKERY CAFE,07/29/2020,05/31/2021,03/05/2020,676 N ST CLAIR ST,676,676,N,ST CLAIR,ST,CHICAGO,IL,60611,42,53,42-53,18,41.894852961,-87.6229018,"(41.89485296136011, -87.62290180042824)"
1143809,346733,4,"INTERNATIONAL ORANGE, LLC",Gilt Bar/Doughnut Vault/Ciccio Mio,03/04/2020,05/31/2021,03/04/2020,226-230 W KINZIE ST,226,226-230,W,KINZIE,ST,CHICAGO,IL,60654,42,14,42-14,18,41.889261623,-87.635182056,"(41.889261623396315, -87.63518205602392)"
1146344,366879,1,BICH T. NGUYEN,VIET NAM RESTAURANT,08/12/2020,05/31/2021,08/10/2020,1032 W ARGYLE,1032,1032,W,ARGYLE,,CHICAGO,,,48,,48-,,41.97340307,-87.656262629,"(41.973403069814694, -87.65626262861889)"
1144855,307481,1,"BDMR, LLC",EASY BAR,07/06/2020,05/31/2021,01/26/2021,1944 W DIVISION ST,1944,1944,W,DIVISION,ST,CHICAGO,IL,60622,1,17,1-17,14,41.903310755,-87.676651697,"(41.90331075549537, -87.67665169704529)"
1144991,376808,1,TAKITO KITCHEN LLC,TAKITO KITCHEN,02/04/2021,05/31/2021,06/17/2020,2013 W DIVISION ST,2013,2013,W,DIVISION,ST,CHICAGO,IL,60622,1,3,1-3,12,41.903071092,-87.677830971,"(41.9030710919784, -87.67783097051901)"
1145676,467062,1,"REZA ON CLARK, INC.",REZA'S RESTAURANT,02/09/2021,05/31/2021,01/20/2021,5255-5259 N CLARK ST,5255,5255-5259,N,CLARK,ST,CHICAGO,IL,60640,48,10,48-10,20,41.977842895,-87.6682074,"(41.97784289507301, -87.66820740032976)"
1147798,424651,2,BLUE MOUSE HOLDINGS LLC,HOPS & CURDS,02/24/2021,05/31/2021,02/13/2021,2470 N LINCOLN AVE,2470,2470,N,LINCOLN,AVE,CHICAGO,,60614,43,16,43-16,19,41.926872319,-87.650968355,"(41.92687231925592, -87.650968355266)"
1143663,373421,2,"HOMESLYCE IS WHERE THE HEART IS, LLC",HOMESLYCE WHEEL HOUSE,02/21/2020,05/31/2021,02/21/2020,934-938 W WEBSTER AVE,934,934-938,W,WEBSTER,AVE,CHICAGO,IL,60614,43,21,43-21,18,41.921866539,-87.652423053,"(41.921866539026375, -87.65242305270903)"
1143664,431822,1,"CAMERON MITCHELL RESTAURANTS, LLC",OCEAN PRIME,02/10/2020,05/31/2021,02/05/2020,87 E WACKER DR,87,87,E,WACKER,DR,CHICAGO,,60601,42,42,42-42,1,41.888113901,-87.625172398,"(41.88811390110396, -87.62517239751294)"
1143988,427654,1,441 CLARK RESTAURANT LLC,Lil' Ba-Ba-Reeba!,03/04/2020,05/31/2021,03/04/2020,441 N CLARK ST,441,441,N,CLARK,ST,CHICAGO,,60654,42,32,42-32,18,41.890425064,-87.630946794,"(41.89042506371873, -87.6309467939866)"
1144462,294293,2,OASIS U.S.A. INC.,BUTTERFLY,06/29/2020,05/31/2021,06/28/2020,1139-43 W GRAND AVE,1139,1139-43,W,GRAND,AVE,CHICAGO,IL,60642,27,18,27-18,12,41.890984178,-87.656121232,"(41.890984177867686, -87.65612123223337)"
1143676,13,2,"BLEACHERS, INC.",Murphy's Bleachers,02/10/2020,05/31/2021,02/04/2020,3653-55 N SHEFFIELD AVE,3653,3653-55,N,SHEFFIELD,AVE,CHICAGO,IL,60613,44,28,44-28,19,41.948788471,-87.654229117,"(41.94878847107489, -87.65422911685373)"
1143686,360701,1,"ANNETTE'S ITALIAN ICE, INC.",ANNETTE'S ITALIAN ICE,01/27/2020,05/31/2021,01/27/2020,2009 N BISSELL ST,2009,2009,N,BISSELL,ST,CHICAGO,IL,60614,43,11,43-11,18,41.918442455,-87.652015059,"(41.918442455477425, -87.65201505870783)"
1143687,454902,2,RESTAURANT COLLECTIVE LLC,GUYJEAN / GAIJIN JAPANESE RESTAURANT,02/18/2020,05/31/2021,02/18/2020,950 W LAKE ST,950,950,W,LAKE,ST,CHICAGO,,60607,27,45,27-45,12,41.885700768,-87.651763119,"(41.885700767664, -87.65176311854695)"
1143689,3474,1,"FIESTA MEXICANA, CORP.",FIESTA MEXICANA CORP,02/19/2020,05/31/2021,02/19/2020,4806 N BROADWAY,4806,4806,N,BROADWAY,,CHICAGO,IL,60640,46,40,46-40,20,41.969248782,-87.659824259,"(41.96924878168732, -87.65982425851124)"
1143690,370555,1,KATHY YIM LLC,OIISTAR,02/14/2020,05/31/2021,02/13/2020,1385 N MILWAUKEE AVE,1385,1385,N,MILWAUKEE,AVE,CHICAGO,IL,60622,1,49,1-49,14,41.907072426,-87.672068361,"(41.90707242599497, -87.67206836082993)"
1143691,430371,1,LA AMISTAD INC.,LA AMISTAD INC.,03/04/2020,05/31/2021,02/14/2020,1914 W MONTROSE AVE,1914,1914,W,MONTROSE,AVE,CHICAGO,,60613,47,10,47-10,19,41.961594915,-87.676663865,"(41.961594914876564, -87.67666386545389)"
1143720,86582,2,"SAM AND JOE'S LIQUORS, INC.",XIPPO,02/24/2020,05/31/2021,02/24/2020,3759 N DAMEN AVE,3759,3759,N,DAMEN,AVE,CHICAGO,IL,60618,47,27,47-27,19,41.95046614,-87.678505891,"(41.950466140039374, -87.67850589129722)"
1143721,339662,1,"NEW WAVE COFFEE, LLC","NEW WAVE COFFEE, LLC",07/07/2020,05/31/2021,06/18/2020,3103 W LOGAN BLVD,3103,3103,W,LOGAN,BLVD,CHICAGO,IL,60647,32,30,32-30,14,41.928292712,-87.705061268,"(41.92829271174019, -87.70506126827188)"
1143722,351318,1,"Time Bandits, LLC",The Wormhole,07/07/2020,05/31/2021,06/18/2020,1462 N MILWAUKEE AVE,1462,1462,N,MILWAUKEE,AVE,CHICAGO,IL,60642,1,10,1-10,14,41.908378351,-87.674569208,"(41.90837835089753, -87.67456920778488)"
1143723,455552,1,"DHW STREETS, LLC",CAFFE STREETS,06/18/2020,05/31/2021,06/18/2020,1750 W DIVISION ST,1750,1750,W,DIVISION,ST,CHICAGO,,60622,1,21,1-21,14,41.903382537,-87.672031532,"(41.90338253745453, -87.67203153194586)"
1143724,207,1,"TWIN ANCHORS, INC.",TWIN ANCHORS,03/10/2020,05/31/2021,03/09/2020,1655 N SEDGWICK ST,1655,1655,N,SEDGWICK,ST,CHICAGO,IL,60614,2,23,2-23,18,41.912687205,-87.638490569,"(41.912687204698344, -87.63849056944863)"
1143725,242,1,BREHON CORPORATION,BREHON PUB,03/09/2020,05/31/2021,03/09/2020,731-33 N WELLS ST,731,731-33,N,WELLS,ST,CHICAGO,IL,60654,2,57,2-57,18,41.895647492,-87.634029865,"(41.89564749189664, -87.63402986481714)"
1143726,15867,1,"HARDTALES, INC.",BROWNSTONE TAVERN & GRILL,02/28/2020,05/31/2021,02/28/2020,3937 N LINCOLN AVE,3937,3937,N,LINCOLN,AVE,CHICAGO,IL,60613,47,29,47-29,19,41.953389927,-87.678056694,"(41.95338992735259, -87.67805669448816)"
1143727,11110,1,"DUBLIN BAR & GRILL, INC.",DUBLIN BAR & GRILL,02/28/2020,05/31/2021,02/28/2020,1050 N STATE ST,1050,1050,N,STATE,ST,CHICAGO,IL,60610,2,4,2-4,18,41.901867357,-87.628492145,"(41.901867356818784, -87.62849214526828)"
1143729,382283,1,SITIA FOOD CORP.,MR. GEES,03/06/2020,05/31/2021,03/06/2020,4436 W FULLERTON AVE,4436,4436,W,FULLERTON,AVE,CHICAGO,IL,60639,31,24,31-24,25,41.924461019,-87.738081393,"(41.92446101862449, -87.73808139269306)"
1143763,354364,1,"BARAMARO, LLC",MAUDE'S,03/04/2020,05/31/2021,03/04/2020,840 W RANDOLPH ST,840,840,W,RANDOLPH,ST,CHICAGO,IL,60607,27,1,27-1,12,41.884490694,-87.649015996,"(41.88449069405542, -87.64901599613749)"
1143764,384478,1,1732 N MILWAUKEE RESTAURANT LLC,SMALL CHEVAL,03/04/2020,05/31/2021,03/04/2020,1732 N MILWAUKEE AVE,1732,1732,N,MILWAUKEE,AVE,CHICAGO,,60647,32,6,32-6,14,41.912730418,-87.681327033,"(41.91273041812944, -87.68132703318662)"
1143770,65013,1,THE CALIFORNIA CLIPPER CORP.,THE CLIPPER/ CC FERNS,03/04/2020,05/31/2021,03/04/2020,1002 N CALIFORNIA AVE,1002,1002,N,CALIFORNIA,AVE,CHICAGO,IL,60622,26,48,26-48,12,41.899381966,-87.696940044,"(41.89938196589096, -87.69694004377007)"
1143773,360335,1,O'NEIL'S BAR & GRILL CORPORATION,O'NEIL'S ON WELLS,02/28/2020,05/31/2021,02/28/2020,411 S WELLS ST,411,411,S,WELLS,ST,CHICAGO,IL,60607,25,49,25-49,1,41.876562098,-87.633539775,"(41.87656209838564, -87.6335397749874)"
1143775,8632,1,"THE NORTHSIDE CAFE, INC.",NORTHSIDE BAR & GRILL,03/19/2020,05/31/2021,03/19/2020,1635 N DAMEN AVE,1635,1635,N,DAMEN,AVE,CHICAGO,IL,60647,2,36,2-36,14,41.911516269,-87.677340695,"(41.91151626874877, -87.67734069528592)"
1143776,278702,2,CALIFORNIA BAR & GRILL CORP.,Logan 11,03/20/2020,05/31/2021,03/19/2020,2230-32 N CALIFORNIA AVE,2230,2230-32,N,CALIFORNIA,AVE,CHICAGO,IL,60647,1,10,1-10,14,41.922631912,-87.697499973,"(41.922631911705096, -87.69749997276882)"
1143778,50161,18,"LUMA, LLC",LOU MALNATI'S PIZZERIA,03/13/2020,05/31/2021,03/12/2020,1235 W RANDOLPH ST,1235,1235,W,RANDOLPH,ST,CHICAGO,IL,60607,27,7,27-7,12,41.884113577,-87.658081674,"(41.88411357669396, -87.6580816735995)"
1143779,376689,1,MODERN ASIAN KITCHEN LLC,MODERN ASIAN KITCHEN,04/24/2020,05/31/2021,03/12/2020,1924 W DIVISION ST,1924,1924,W,DIVISION,ST,CHICAGO,IL,60622,1,17,1-17,14,41.90332445,-87.675825455,"(41.90332444964588, -87.67582545503593)"
1143780,14298,1,"ROSCOE'S TAVERN, LTD.",ROSCOE'S TAVERN LTD,05/13/2020,05/31/2021,03/01/2020,3354-56 N HALSTED ST,3354,3354-56,N,HALSTED,ST,CHICAGO,IL,60657,44,42,44-42,19,41.943442912,-87.649517054,"(41.94344291172199, -87.64951705356305)"
1143781,316315,1,"CHOCOLAT, LLC",ALLIANCE BAKERY,06/16/2020,05/31/2021,06/15/2020,1736 W DIVISION ST,1736,1736,W,DIVISION,ST,CHICAGO,IL,60622,1,5,1-5,14,41.903389919,-87.671521816,"(41.90338991864267, -87.671521816288)"
1143782,292957,2,"THE BIG FOUR, LLC",HAMBURGER MARY'S CHICAGO,05/13/2020,05/31/2021,03/09/2020,5400 N CLARK ST,5400,5400,N,CLARK,ST,CHICAGO,IL,60640,40,42,40-42,20,41.979884283,-87.668429485,"(41.97988428297559, -87.66842948468236)"
1143785,322341,1,"ASIMIS, INC.",NIA,07/02/2020,05/31/2021,06/24/2020,803 W RANDOLPH ST,803,803,W,RANDOLPH,ST,CHICAGO,IL,60607,27,1,27-1,12,41.884294811,-87.647579696,"(41.88429481122888, -87.64757969564477)"
1143787,16296,2,GUSTO MEXICANO INC,EL CID TACOS #2,03/05/2020,05/31/2021,03/05/2020,2645 N KEDZIE AVE,2645,2645,N,KEDZIE,AVE,CHICAGO,IL,60647,32,7,32-7,14,41.929762865,-87.707223234,"(41.92976286483289, -87.70722323405842)"
1143789,317287,1,"BELLO GONZALEZ, INC.",PALADAR,03/05/2020,05/31/2021,03/05/2020,2252 N WESTERN AVE,2252,2252,N,WESTERN,AVE,CHICAGO,IL,60647,1,9,1-9,14,41.923199893,-87.687738508,"(41.92319989266042, -87.68773850836422)"
1143793,365590,1,JOE'S WINE CELLAR INC.,JOE'S WINE CELLAR,03/09/2020,05/31/2021,03/09/2020,2108 W DIVISION ST,2108,2108,W,DIVISION,ST,CHICAGO,IL,60622,2,3,2-3,14,41.903249554,-87.680128075,"(41.903249553580345, -87.68012807462533)"
1143794,419511,1,"PUNCH BOWL CHICAGO WEST LOOP, LLC",PUNCH BOWL SOCIAL,03/10/2020,05/31/2021,03/10/2020,310 N GREEN ST,310,310,N,GREEN,ST,CHICAGO,,60607,27,45,27-45,12,41.887192057,-87.648828073,"(41.88719205664258, -87.64882807264597)"
1143795,131,19,"MILITO'S, LTD.",ORSO'S RESTAURANT,03/03/2020,05/31/2021,03/03/2020,1401 N WELLS ST,1401,1401,N,WELLS,ST,CHICAGO,IL,,27,54,27-54,18,41.907742845,-87.634460793,"(41.90774284494958, -87.63446079255868)"
1143801,7134,3,THE GUSMANOS CORPORATION,MR. KITE'S CHOCOLATE,02/24/2020,05/31/2021,02/24/2020,2120 W DIVISION ST,2120,2120,W,DIVISION,ST,CHICAGO,IL,60622,2,3,2-3,14,41.903241964,-87.680582455,"(41.9032419638308, -87.68058245479645)"
1143802,347093,1,"LAM AND THE GOAT, LLC",GIRL & THE GOAT,03/09/2020,05/31/2021,03/05/2020,809-813 W RANDOLPH ST,809,809-813,W,RANDOLPH,ST,CHICAGO,IL,60607,27,1,27-1,12,41.88429093,-87.647841773,"(41.88429093010678, -87.64784177325362)"
1143803,368459,1,"LITTLE GOAT, LLC",LITTLE GOAT DINER,03/09/2020,05/31/2021,03/05/2020,818-822 W RANDOLPH ST,818,818-822,W,RANDOLPH,ST,CHICAGO,IL,60607,27,1,27-1,12,41.88450331,-87.648285837,"(41.88450331042253, -87.6482858374806)"
1143804,397036,1,"FULTON STEAK, LLC",SWIFT & SONS / COLD STORAGE,03/09/2020,05/31/2021,03/05/2020,1000 W FULTON MARKET,1000,1000,W,FULTON MARKET,,CHICAGO,,60607,27,16,27-16,12,41.886848295,-87.652234161,"(41.886848295491134, -87.65223416110463)"
1143808,430200,1,"BOMBASTIC CAFE, LLC",BOMBASTIC CAFE,04/10/2020,05/31/2021,03/05/2020,3732 N SOUTHPORT AVE,3732,3732,N,SOUTHPORT,AVE,CHICAGO,,60613,44,25,44-25,19,41.949882649,-87.664241779,"(41.94988264936109, -87.6642417785868)"
1143810,379375,1,354 W HUBBARD RESTAURANT LLC,3 GREENS MARKET,03/04/2020,05/31/2021,03/04/2020,354 W HUBBARD ST,354,354,W,HUBBARD,ST,CHICAGO,IL,60654,42,67,42-67,18,41.890044958,-87.637628064,"(41.890044957539516, -87.6376280637658)"
1143811,344964,1,NEW LINE TAVERN CORP.,NEW LINE,02/28/2020,05/31/2021,02/28/2020,201 N CLINTON ST,201,201,N,CLINTON,ST,CHICAGO,IL,60661,42,18,42-18,12,41.885752607,-87.641164579,"(41.885752607166296, -87.64116457925334)"
1143813,274159,1,O'DONOGHUE TAVERNS LTD.,THE KERRYMAN,03/05/2020,05/31/2021,03/05/2020,661 N CLARK ST,661,661,N,CLARK,ST,CHICAGO,IL,60654,42,46,42-46,18,41.894145481,-87.631042503,"(41.894145480595974, -87.63104250292555)"
1143817,432661,1,"1061 W MADISON, LLC",THE BLACK BARREL TAVERN,06/04/2020,05/31/2021,06/04/2020,1061 W MADISON ST,1061,1061,W,MADISON,ST,CHICAGO,,60607,25,16,25-16,12,41.881559957,-87.654372398,"(41.88155995723971, -87.65437239771845)"
1143828,412966,1,DO-RITE FULTON MARKET LLC,DO-RITE DONUTS,03/04/2020,05/31/2021,03/04/2020,181 N MORGAN ST,181,181,N,MORGAN,ST,CHICAGO,IL,60607,27,57,27-57,12,41.885420851,-87.651988672,"(41.885420850681435, -87.65198867202521)"
1143829,8970,110,"COMPASS GROUP USA, INC.",ESPRESSAMENTE ILLY/CITYFRONT CAFE,03/05/2020,05/31/2021,03/05/2020,455 N CITYFRONT PLAZA DR,455,455,N,CITYFRONT PLAZA,DR,CHICAGO,IL,60611,42,53,42-53,18,41.890001335,-87.621438688,"(41.890001335214684, -87.62143868830125)"
1143830,430380,1,DO-RITE ADDISON LLC,DO-RITE DONUTS & CHICKEN,03/04/2020,05/31/2021,03/04/2020,1027 W ADDISON ST,1027,1027,W,ADDISON,ST,CHICAGO,,60613,44,38,44-38,19,41.947116537,-87.655459873,"(41.94711653707501, -87.65545987326549)"
1143831,412132,1,BEATRIX FULTON MARKET LLC,BEATRIX,03/04/2020,05/31/2021,03/04/2020,834-842 W FULTON MARKET,834,834-842,W,FULTON MARKET,,CHICAGO,IL,60607,27,1,27-1,12,41.886890532,-87.648822818,"(41.886890531772956, -87.64882281750184)"
1143832,425293,1,RAMEN FULTON MARKET LLC,RAMEN-SAN,03/05/2020,05/31/2021,03/04/2020,219 N GREEN ST,219,219,N,GREEN,ST,CHICAGO,,60607,27,45,27-45,12,41.886282117,-87.64851478,"(41.88628211684129, -87.64851477973815)"
1143849,86212,1,INTELLIGENTSIA COFFEE INC.,"INTELLIGENTSIA COFFEE & TEA, INC.",04/03/2020,05/31/2021,03/04/2020,3123 N BROADWAY,3123,3123,N,BROADWAY,,CHICAGO,IL,60657,44,17,44-17,19,41.938435181,-87.644198417,"(41.938435180550734, -87.64419841711218)"
1143850,379627,1,RAFAEL CASTRO,ESENCIA URBAN KITCHEN,04/15/2020,05/31/2021,03/06/2020,3351 N BROADWAY,3351,3351,N,BROADWAY,,CHICAGO,IL,60657,44,15,44-15,19,41.943340055,-87.64466387,"(41.94334005547684, -87.64466387044959)"
1143851,280339,3,"SAGE, INC.",BASIL LEAF CAFE/SAGE,03/18/2020,05/31/2021,03/05/2020,2461-2465 N CLARK ST,2461,2461-2465,N,CLARK,ST,CHICAGO,IL,60614,43,27,43-27,19,41.927168968,-87.641268696,"(41.92716896806323, -87.64126869571744)"
1143852,63610,1,"OLD JERUSALEM, INC.",OLD JERUSALEM RESTAURANT,02/28/2020,05/31/2021,02/28/2020,1411 N WELLS ST,1411,1411,N,WELLS,ST,CHICAGO,IL,60610,27,54,27-54,18,41.908022398,-87.634467796,"(41.90802239825018, -87.63446779596038)"
1143853,10775,1,"CLUB LUCKY, INC.",CLUB LUCKY,03/25/2020,05/31/2021,03/12/2020,1822-24 W WABANSIA AVE,1822,1822-24,W,WABANSIA,AVE,CHICAGO,IL,60622,32,35,32-35,14,41.912476985,-87.673618468,"(41.91247698463728, -87.67361846778101)"
1143854,286952,1,"S & G RESTAURANT, LLC",S & G GRILL,02/27/2020,05/31/2021,02/27/2020,3000 N LINCOLN AVE,3000,3000,N,LINCOLN,AVE,CHICAGO,IL,60657,32,18,32-18,19,41.936122944,-87.663914107,"(41.93612294441291, -87.66391410739975)"
1143856,278781,2,"RAVENSWOOD STATION BAR & GRILL, INC.",RAVENSWOOD STATION BAR & GRILL,03/18/2020,05/31/2021,03/12/2020,4709 N DAMEN AVE,4709,4709,N,DAMEN,AVE,CHICAGO,IL,60625,47,36,47-36,19,41.967202638,-87.678994885,"(41.967202638498534, -87.67899488456266)"
1143857,287187,1,"LA CANTINA GRILL, INC.",LA CANTINA GRILL,02/28/2020,05/31/2021,02/27/2020,1911 S MICHIGAN AVE,1911,1911,S,MICHIGAN,AVE,CHICAGO,IL,60616,3,26,3-26,1,41.85627967,-87.623749066,"(41.85627966980036, -87.62374906633188)"
1143858,313934,12,"THIRSTY ANGUS, LLC",THE PIGGERY,06/17/2020,05/31/2021,06/08/2020,1625 W IRVING PARK RD,1625,1625,W,IRVING PARK,RD,CHICAGO,IL,60613,47,25,47-25,19,41.954165368,-87.670127842,"(41.954165368383535, -87.6701278424856)"
1143860,48147,4,"BALLINGARY MANAGEMENT, INC.",COALFIRE PIZZA,02/27/2020,05/31/2021,02/27/2020,3705-3707 N SOUTHPORT AVE,3705,3705-3707,N,SOUTHPORT,AVE,CHICAGO,IL,60613,44,25,44-25,19,41.949091556,-87.663926244,"(41.94909155554482, -87.66392624358977)"
1143869,307071,1,REGGIE'S BAR & GRILL LLC,REGGIE'S BAR & GRILL,03/10/2020,05/31/2021,03/10/2020,2105 S STATE ST,2105,2105,S,STATE,ST,CHICAGO,IL,60616,3,45,3-45,1,41.854063769,-87.626960536,"(41.85406376900946, -87.6269605360631)"
1143870,50161,5,"LUMA, LLC",LOU MALNATI'S PIZZERIA,03/13/2020,05/31/2021,03/12/2020,805 S STATE ST,805,805,S,STATE,ST,CHICAGO,IL,60605,4,58,4-58,1,41.871698689,-87.62737565,"(41.8716986890444, -87.62737565048037)"
1143871,36022,1,"ROSCOE-DAMEN, CORP.",COMMONWEALTH TAVERN,03/17/2020,05/31/2021,03/03/2020,2000 W ROSCOE ST,2000,2000,W,ROSCOE,ST,CHICAGO,IL,60618,32,21,32-21,19,41.943325138,-87.678514433,"(41.94332513800031, -87.67851443293753)"
1143872,360948,1,"WILDBERRY PANCAKES & CAFE III INC.,",WILDBERRY PANCAKES & CAFE,02/26/2020,05/31/2021,02/21/2020,130 E RANDOLPH ST,130,130,E,RANDOLPH,ST,CHICAGO,IL,60601,42,44,42-44,1,41.884588372,-87.623272561,"(41.884588371969095, -87.62327256105529)"
1143873,421785,1,WILDBERRY PANCAKES & CAFE IV INC.,WILDBERRY PANCAKES & CAFE,02/26/2020,05/31/2021,02/21/2020,196 E PEARSON ST,196,196,E,PEARSON,ST,CHICAGO,,60611,2,10,2-10,18,41.897721501,-87.622035476,"(41.897721501377255, -87.62203547561978)"
1143874,392142,1,5101 HOSPITALITY LLC,BAR ROMA,03/11/2020,05/31/2021,03/11/2020,5101 N CLARK ST,5101,5101,N,CLARK,ST,CHICAGO,IL,60640,47,19,47-19,20,41.974420574,-87.668066561,"(41.97442057406896, -87.66806656121211)"
1143885,315884,1,4555 N RAVENSWOOD INC.,O'SHAUGHNESSY'S PUBLIC HOUSE,03/10/2020,05/31/2021,03/10/2020,4557 N RAVENSWOOD AVE,4557,4557,N,RAVENSWOOD,AVE,CHICAGO,IL,60640,47,5,47-5,19,41.965024223,-87.673930014,"(41.96502422260248, -87.67393001432491)"
1143887,395004,1,4 STAR 20 NORTH LLC,REMINGTON'S,02/28/2020,05/31/2021,02/28/2020,20 N MICHIGAN AVE,20,20,N,MICHIGAN,AVE,CHICAGO,IL,60602,42,9,42-9,1,41.882540202,-87.624530945,"(41.88254020245772, -87.62453094472777)"
1143890,398059,1,"HAPPY CAMPER PIZZERIA, LLC",HAPPY CAMPER,02/21/2020,05/31/2021,02/21/2020,1209 N WELLS ST,1209,1209,N,WELLS,ST,CHICAGO,IL,60610,2,19,2-19,18,41.904158587,-87.634342762,"(41.9041585871483, -87.63434276178984)"
1143891,405536,1,4 STAR 3358 SOUTHPORT LLC,TUCO & BLONDIE,02/28/2020,05/31/2021,02/28/2020,3356-3358 N SOUTHPORT AVE,3356,3356-3358,N,SOUTHPORT,AVE,CHICAGO,IL,60657,44,47,44-47,19,41.943306956,-87.664061382,"(41.94330695630928, -87.66406138245193)"
1143892,371106,4,"SOUTHPORT GRILL, LLC",ELLA ELLI,02/28/2020,05/31/2021,02/28/2020,1349 W CORNELIA AVE,1349,1349,W,CORNELIA,AVE,CHICAGO,IL,60657,44,11,44-11,19,41.945142728,-87.663467673,"(41.94514272798209, -87.66346767341)"
1143894,371106,1,"SOUTHPORT GRILL, LLC",CROSBY'S KITCHEN,02/28/2020,05/31/2021,02/28/2020,3455-3457 N SOUTHPORT AVE,3455,3455-3457,N,SOUTHPORT,AVE,CHICAGO,IL,60657,44,11,44-11,19,41.945073983,-87.663816175,"(41.945073982933394, -87.66381617475186)"
1143895,300008,1,"DUNLAY'S ROSCOE, LLC",FRASCA,02/28/2020,05/31/2021,02/28/2020,3356-3358 N PAULINA ST,3356,3356-3358,N,PAULINA,ST,CHICAGO,IL,60657,47,38,47-38,19,41.943192473,-87.67133728,"(41.94319247252324, -87.67133728041468)"
